objid,ra,dec,u,g,r,i,z,class,redshift
1237645879562862699,15.8961264648656,1.26484510362016,20.14134,19.28787,19.04397,18.96897,18.79573,STAR,-0.0008209134
1237645879580098737,55.2961970044124,1.27169205773492,20.169,20.1186,20.00968,19.54327,19.37404,QSO,1.837838
1237645941286502503,38.0379218207372,-1.04298108644375,19.35777,20.15456,24.80203,17.77139,18.46624,STAR,-8.218954e-05
1237645941286568042,38.0519598250764,-1.03620784982882,24.63467,21.49866,21.45066,19.92876,21.05994,STAR,-6.133055e-05
1237645941291614227,49.6274851210218,-1.0417691497987,17.65612,16.17133,15.5894,15.3785,15.26744,STAR,-9.765775e-05
1237645941824356481,40.2721052364832,-0.642510265945889,19.23401,17.5333,16.8743,16.63157,16.49762,STAR,-5.2202e-05
1237645942898229350,40.5820323404104,0.134770090982145,18.64558,16.44336,15.52452,15.18185,14.98858,STAR,0.0001671379
1237645942898229471,40.5866484645203,0.087817311594574,21.17529,18.88593,17.84707,17.4657,17.22915,STAR,8.201628e-05
1237645942898230097,40.5793475271779,0.182010176680141,23.45584,22.33025,22.16315,21.5689,21.88052,QSO,1.570309
1237645942898230126,40.5849309701887,0.131274695916725,23.34163,22.46378,22.20699,22.2005,22.2284,QSO,2.276326
1237645942904389833,54.55577638031,0.22324705880271,22.19868,19.84683,18.37413,17.12478,16.43615,STAR,-0.0001077839
1237645942904455278,54.6834243705312,0.216918587541457,20.79859,19.54183,19.04607,18.82743,18.74658,STAR,-6.275329e-05
1237645942904455343,54.7769799291301,0.223335922826847,19.79918,18.29659,17.65989,17.40492,17.30932,STAR,-9.326459e-05
1237645942904455388,54.7723123434002,0.21669792522357,23.15027,21.05162,19.65687,18.86262,18.41304,STAR,0.0003130087
1237645942904520909,54.9111219327585,0.220735813012347,22.02289,19.26772,17.75936,17.04514,16.61452,STAR,-1.234244e-05
1237645942904520914,54.9236340251032,0.221918217172192,23.40751,20.02904,18.51576,17.8002,17.40633,STAR,-0.0001354448
1237645942904586466,55.1063806063241,0.219220515132176,20.47795,19.07143,18.49185,18.27523,18.21685,STAR,0.0001493801
1237645942904914039,55.7437304311277,0.21634242770469,20.06968,18.75596,18.16277,17.92969,17.92194,STAR,-0.0003995959
1237645942905110842,56.2342367230983,0.222159905209195,21.16108,20.64433,19.94781,19.27042,18.99279,QSO,0.4469347
1237645942905372939,56.8124574683907,0.219558796279035,23.27591,20.35437,18.82604,17.39119,16.5816,STAR,-3.632986e-05
1237645942905569371,57.281615211522,0.0187678802337251,16.4848,14.92993,14.56054,14.53054,14.19394,STAR,-0.0001421523
1237645942905569521,57.2060848993444,0.0274351513427318,24.06832,21.39478,19.75345,18.41416,17.61762,STAR,0.0002120852
1237645942905634929,57.4057655489,0.0999447174141334,19.77787,19.45023,19.15962,18.9185,18.72023,QSO,1.967009
1237645942905635264,57.3992522582091,0.209324548711707,23.75402,22.39903,20.70438,19.41228,18.71345,STAR,-6.629725e-05
1237645942905700356,57.5121037053493,0.0848866189272191,18.83897,17.63091,17.09078,16.84627,16.71464,STAR,8.889643e-05
1237645942905700448,57.6053752996826,0.0272751123700102,18.21801,15.95427,14.95673,14.59481,14.36269,STAR,-2.619098e-05
1237645942905700553,57.6472530217318,0.0306952078281232,19.73725,19.4862,19.04919,18.85514,18.79748,QSO,1.429148
1237645942905765958,57.7692716788675,0.0183853337606377,24.20345,24.53743,21.62383,20.44507,20.40582,STAR,0.0002609348
1237645942905831442,57.8249986846345,0.215608953191162,17.68076,17.32501,17.1707,17.08611,17.03252,QSO,0.6822563
1237645942905831562,57.9434578361393,0.0596777640983914,16.93403,15.38486,14.69913,14.44319,14.33092,STAR,0.0001166088
1237645942905831605,57.8654633145069,0.149956863193641,22.19689,19.6663,18.3876,17.53941,17.1504,STAR,7.551349e-05
1237645942905831607,57.8666985784395,0.0706767803986773,20.30746,19.95838,19.73298,19.47332,19.4019,QSO,1.547692
1237645942905831654,57.9170237643316,0.175591832886658,20.2789,20.04589,19.51152,19.43904,19.38451,QSO,1.244225
1237645942905897089,57.9751440500755,0.175447929099666,20.33587,19.2508,18.86774,18.7108,18.61204,STAR,0.0006643924
1237645942905897179,58.0979620787617,0.101863540797799,20.69693,18.00692,16.49571,15.70788,15.26716,STAR,0.0002026054
1237645942905962575,58.1754593923652,0.218693321553306,19.33956,19.10073,18.66402,18.58816,18.6467,QSO,1.161747
1237645942905962656,58.1060839107507,0.190851328472913,23.9199,20.93173,19.40141,18.01012,17.23484,STAR,5.016178e-05
1237645942906028070,58.3040235328671,0.0138136516578401,18.53223,17.24661,16.77493,16.59758,16.50323,STAR,4.655017e-05
1237645942906028116,58.3957362486495,0.209765911303569,17.0049,15.36086,14.49837,14.39811,13.7894,STAR,0.0006135278
1237645942906028124,58.2713410658662,0.0963020954021856,21.96671,19.09438,17.6361,16.9917,16.56875,STAR,0.0002495858
1237645942906028214,58.3210074846897,0.145993214829941,23.17228,20.57825,19.14963,18.55397,18.15417,STAR,-5.492099e-05
1237645942906028227,58.3704943128779,0.0541890239600023,22.00985,20.54013,19.79456,19.47281,19.34925,STAR,-0.0006849247
1237645942906028231,58.3841826016766,0.120674331473783,23.84005,21.06144,19.41521,18.68657,18.18893,STAR,-4.827339e-05
1237645942906028249,58.3048153441305,0.0863877582560843,24.16281,22.07916,20.40646,19.02949,18.18834,STAR,8.113415e-05
1237645942906028511,58.3551634525876,0.0795489122483548,24.50392,21.8972,21.1263,20.79458,20.36792,QSO,6.449718
1237645942906093728,58.5214460694364,0.185546616788395,22.81635,20.2268,18.74288,17.21303,16.4029,STAR,-0.0003783596
1237645942906290310,58.8721741191512,0.135314258172131,20.27496,19.82026,19.28656,19.07273,18.48734,QSO,0.3295562
1237645942906290409,58.9254664035334,0.0368912122995931,23.22584,20.86104,19.08917,17.84438,17.26167,STAR,1.263038e-05
1237645943433396364,36.6536741100505,0.631102526922811,19.4573,18.126,17.62662,17.45301,17.32834,STAR,9.134632e-05
1237645943433855052,37.6901262928042,0.630372377768456,19.25001,18.32965,17.98234,17.86072,17.78243,STAR,0.0001035243
1237645943434969150,40.2797407546649,0.563509179587932,18.41061,17.24516,17.35439,17.45092,17.5481,STAR,0.0003989428
1237645943434969245,40.2712409217078,0.619779254105046,19.70997,17.79713,17.0113,16.7352,16.59122,STAR,0.0001675098
1237645943434969249,40.2777330900701,0.460594993879724,20.87716,18.34473,17.20554,16.76624,16.51452,STAR,4.691334e-05
