objid,ra,dec,u,g,r,i,z,class,redshift,W1mag,W2mag,W1_W2,u_g,parallax,pmra,pmde
1237651067349631068,165.734775291671,64.4082593159562,20.27721,19.87881,19.66776,19.7324,19.86167,QSO,2.423657,16.919,15.96,0.9589999999999996,0.39839999999999876,0.5089,0.781,0.077
1237651754004119685,165.808055900229,2.53500914439841,20.49582,19.43475,18.95691,18.80998,18.68618,STAR,0.001111784,17.25,16.89,0.35999999999999943,1.0610699999999973,0.058,-13.573,-3.203
1237648722828984351,151.74758837163,1.13588155235866,19.05784,17.99233,17.61009,17.46888,17.4226,STAR,9.92249e-05,16.198,16.413,-0.21499999999999986,1.0655099999999997,0.268,-1.453,-1.039
1237651702451601527,128.746577125107,53.9246637875245,17.20966,15.74729,15.19938,15.00249,14.92227,STAR,-0.0001687165,13.531,13.521,0.009999999999999787,1.46237,0.9286,3.896,-2.293
1237651250946310185,125.364054335218,46.9828892460314,18.03081,16.76858,16.31297,16.1446,16.08312,STAR,-1.054463e-06,14.829,14.829,0.0,1.2622299999999989,0.5148,-2.507,-1.198
1237651191891165383,122.495531449507,45.7172140710689,19.38124,19.1367,18.67593,18.38169,17.82522,QSO,0.3659445,14.425,13.763,0.6620000000000008,0.2445399999999971,-0.1882,0.515,-0.293
1237651251488489806,138.275576829005,56.13047509029,21.66239,20.56443,19.78278,19.08892,19.05018,QSO,0.598048,14.061,12.942,1.1189999999999998,1.097959999999997,0.0578,0.715,-0.485
1237651066811711715,160.931523034109,63.3530495383065,20.66125,20.32399,20.21628,20.33737,19.981,QSO,0.8907404,16.122,15.204,0.9179999999999993,0.33726000000000056,1.7271,-0.694,-0.876
1237651250946375914,125.276360931228,47.2033643695704,21.17738,19.24486,18.52876,18.28168,18.18079,STAR,0.0001121926,16.6,16.976,-0.37599999999999767,1.9325200000000002,0.4238,-0.79,-2.762
1237648722292113511,151.814720236013,0.71621612425367,19.36711,19.1034,18.97296,18.74899,18.63704,QSO,1.680108,15.697,14.542,1.1549999999999994,0.26370999999999967,0.6214,-0.386,-0.457
1237651067350417595,170.016513409091,64.9708509702118,20.25989,19.40688,19.08538,19.01858,19.10724,STAR,-0.000385561,18.06,17.243,0.8170000000000002,0.8530099999999976,0.1495,-1.716,-4.767
1237651754003398790,164.154882730272,2.3740063112849,20.13222,18.63018,17.98444,17.72905,17.58359,STAR,-1.098755e-05,16.062,16.09,-0.027999999999998693,1.502040000000001,0.3528,-10.61,0.648
1237648720686219285,162.489665422318,-0.563262537418538,18.65056,17.22528,16.62856,16.41418,16.30919,STAR,0.0001287782,14.775,14.96,-0.1850000000000005,1.4252799999999972,0.3712,-9.661,-1.951
1237651203694723209,198.897136939218,-0.0608511961691289,20.49222,19.12668,18.63708,18.46911,18.43216,STAR,5.262985e-05,17.104,16.999,0.10500000000000043,1.3655399999999993,0.5085,-1.481,-10.558
1237651252584710171,237.255431883184,54.4589259969266,18.63116,18.43069,18.31745,18.04518,18.0625,QSO,1.626437,14.879,13.611,1.267999999999999,0.2004700000000028,0.0816,-0.02,-0.034
1237651211213013277,255.583576093446,59.2607277186357,20.18962,19.85081,19.33479,18.80482,18.52924,QSO,1.803475,14.769,13.549,1.2200000000000006,0.3388100000000023,-0.2324,-0.019,0.103
1237651754002939918,163.106922774059,2.46592956573554,17.80736,16.50707,16.42475,16.44052,16.44191,STAR,0.000247164,15.503,15.314,0.18900000000000006,1.3002900000000004,-0.0341,-2.15,-1.75
1237651271905181709,210.120059328796,64.5085985792516,18.7818,18.13368,18.08109,17.9918,17.7964,QSO,2.351641,14.865,13.732,1.133000000000001,0.6481200000000022,0.0738,0.151,0.115
1237651252051902787,246.399279796297,47.0694276613766,20.89255,18.25999,16.8475,16.30459,15.92564,STAR,-1.84796e-05,13.287,13.265,0.02200000000000024,2.6325600000000016,1.6377,-0.068,-23.475
1237649964071190642,62.2036050602995,-4.30943628040837,20.2708,19.86932,19.7439,19.50497,19.36913,QSO,1.826869,15.699,14.476,1.222999999999999,0.40148000000000295,0.3275,-0.527,-0.337
1237649964067913863,54.686159367258,-5.33983494510442,19.57977,18.18364,17.61518,17.39694,17.26024,STAR,0.0007745087,15.702,15.611,0.0909999999999993,1.3961299999999994,0.0282,6.131,-2.405
1237646798138573554,123.545267650004,0.931392113528626,19.3623,18.1918,17.81977,17.69313,17.61249,STAR,0.0002354691,16.619,17.077,-0.45800000000000196,1.1705000000000005,0.0138,-2.721,-0.134
1237651272416821810,115.024421840714,38.7664646286897,21.21958,20.76903,20.48156,20.37881,20.23378,QSO,0.5736403,15.936,15.232,0.7040000000000006,0.4505499999999998,0.4097,0.07,0.845
1237651540331069508,228.025272872892,61.8535217012501,19.67506,19.44967,19.48733,19.28492,19.32504,QSO,1.739199,15.966,14.942,1.0239999999999991,0.22538999999999731,-0.2093,0.233,0.533
1237646798138638592,123.717143196888,0.86899847348959,19.77157,17.97525,17.1447,16.81956,16.64103,STAR,0.0001171308,14.749,14.924,-0.17499999999999893,1.7963200000000015,0.043,-2.376,-0.899
1237650762924490819,173.227732788882,-1.54834000047584,19.33002,18.13719,17.68511,17.51366,17.44962,STAR,0.0002117439,16.216,16.1,0.11599999999999966,1.1928300000000007,0.2369,-11.619,-1.14
1237651252061733401,261.509754699022,28.0760424109013,20.26229,18.82621,18.27898,18.05374,18.04075,STAR,-0.0001941629,16.535,17.574,-1.0390000000000015,1.4360800000000005,0.3932,-4.397,-0.585
1237651273499017274,130.253035140689,55.2484405298961,19.07987,17.98969,17.85746,17.8763,17.88392,STAR,-0.0002736421,17.012,16.975,0.036999999999999034,1.0901800000000001,0.0365,-0.675,-0.582
1237648720685760540,161.48028248629,-0.489372712674564,16.50787,15.3139,14.8865,14.74076,14.70757,STAR,-4.451543e-05,13.433,13.444,-0.011000000000001009,1.1939700000000002,0.5912,-8.146,-16.352
1237651067885453358,160.332327903167,64.1054825641135,16.58456,15.64223,15.35808,15.2646,15.24921,STAR,-0.0009017267,14.162,14.184,-0.021999999999998465,0.9423300000000001,0.5858,3.215,-32.679
1237648703513100409,205.695573336203,-0.694928962848397,19.3652,18.1399,17.65534,17.4715,17.37664,STAR,6.526825e-05,15.794,15.924,-0.129999999999999,1.2253000000000007,0.3978,-0.791,-6.689
1237651252028964956,150.431168100642,61.3294521242242,19.20398,17.70259,16.87512,16.40973,16.15868,QSO,0.07379968,13.898,13.693,0.20500000000000007,1.5013900000000007,1.063,-0.894,-1.124
1237648720148955142,161.578305545842,-0.856035601534719,18.45709,17.05875,16.56312,16.35972,16.28534,STAR,0.0002912989,14.875,15.004,-0.12899999999999956,1.398340000000001,0.2891,-3.11,-3.067
1237651272957689968,121.133996469229,46.8070379803549,20.08392,17.98678,17.11703,16.80014,16.6251,STAR,-0.0002163207,14.906,15.05,-0.14400000000000013,2.0971399999999996,0.5896,0.868,-4.782
1237651067355725936,198.707347707853,65.1325887353889,22.20691,19.81858,18.378,17.63087,17.22718,STAR,-0.0001322867,15.135,14.942,0.19299999999999962,2.38833,0.8006,-14.828,-7.116
1237651067348582530,160.560381496129,63.7792764742508,20.29745,20.16065,19.86774,19.74177,19.65419,QSO,1.553517,17.259,16.0,1.2590000000000003,0.13680000000000092,-0.4028,-0.161,0.138
1237651252026147053,140.33977971692,57.6254004174612,21.26981,19.93405,19.20762,18.92266,18.774,STAR,-0.0004193509,16.149,15.829,0.3200000000000003,1.3357600000000005,0.2677,-0.355,-20.153
1237651250408587997,124.135168063527,45.2257840537652,25.5691,21.79337,20.35535,19.27035,18.7638,STAR,4.67576e-05,16.345,16.023,0.3219999999999992,3.7757299999999994,1.3495,10.255,-13.013
1237651252042662167,219.226896126975,61.4096366927611,20.79071,20.45842,20.41415,20.08741,20.02489,QSO,1.726465,16.665,15.828,0.8369999999999997,0.3322900000000004,0.1929,1.234,-0.557
1237651252585955632,240.532515829149,52.3378207191541,20.20996,18.63694,18.04824,17.84314,17.70895,STAR,-0.0001604456,16.339,16.614,-0.27500000000000213,1.5730199999999996,0.2785,-1.494,-5.636
1237651212826247404,261.357599934832,54.0319043350761,20.50962,20.13826,20.03787,19.80593,19.85361,QSO,1.653751,16.286,14.848,1.4380000000000006,0.3713600000000028,0.1839,0.133,-0.204
1237651252552466713,115.809599880958,39.4358031092054,17.3316,16.35038,16.0247,15.89308,15.87317,STAR,-0.0005490888,14.678,14.983,-0.3049999999999997,0.9812200000000004,0.4448,9.103,-22.705
1237649961381593241,50.603099843007,-8.05365667607422,19.92236,19.82168,19.44193,19.30762,19.35895,QSO,1.429162,16.097,14.651,1.4460000000000015,0.10068000000000055,-0.1759,0.107,-0.106
1237648720690217219,171.741518413678,-0.572200657025374,20.99221,18.39384,17.27202,16.86859,16.63668,STAR,2.352333e-05,14.72,14.64,0.08000000000000007,2.598369999999999,0.8185,-5.629,1.381
1237651067356053716,200.693587093502,64.9017210798412,19.18598,17.96991,17.93493,17.95219,17.99218,STAR,-0.00105826,17.186,17.113,0.0730000000000004,1.216070000000002,0.0307,-1.459,-0.858
1237651252028047443,147.1364528322,60.2041971019118,18.41722,18.48937,18.4521,18.20356,18.13354,QSO,1.924295,15.02,13.761,1.2590000000000003,-0.0721500000000006,0.1253,-0.042,-0.106
1237651539251101946,196.762048027709,67.4209400618265,21.10287,20.30125,20.04878,20.01001,19.99052,QSO,2.703806,17.243,16.914,0.3289999999999971,0.8016199999999998,-0.2831,-0.685,0.699
1237651066812039304,162.678836983422,63.5537339206362,22.22565,19.47384,17.96418,16.82333,16.19144,STAR,-6.389139e-06,13.828,13.661,0.16699999999999982,2.7518100000000025,4.5542,61.35,-16.171
1237648705657307531,198.277943130971,0.892416815152043,20.99959,20.40351,20.32229,20.42878,19.90457,QSO,2.470473,17.158,16.78,0.3780000000000001,0.5960800000000006,-0.5864,-2.037,-0.492
1237651252026081473,139.887597262869,57.6304674961167,20.12005,19.78655,19.58212,19.37527,19.36955,QSO,1.741535,16.456,15.121,1.334999999999999,0.3335000000000008,-0.3011,0.139,-0.198
1237651252025557463,138.420651499687,56.6818533307512,23.19718,20.91133,19.80084,19.38449,19.08578,STAR,-0.0002229432,16.184,15.939,0.245000000000001,2.28585,0.5609,4.449,-4.103
