objid              , ra              , dec                 , u       , g       , r       , i       , z       , class, redshift     , W1mag , W2mag , parallax, pmra   , pmde   , u_g                 , W1_W2
1237645879580098737, 55.2961970044124, 1.27169205773492    , 20.169  , 20.1186 , 20.00968, 19.54327, 19.37404, QSO  , 1.837838     , 15.986, 14.719, -0.107  , 0.243  , 0.22   , 0.05039999999999978 , 1.2670002
1237645941291614227, 49.6274851210218, -1.0417691497987    , 17.65612, 16.17133, 15.5894 , 15.3785 , 15.26744, STAR , -9.765775e-05, 13.809, 13.831, 0.9704  , -2.282 , -13.351, 1.4847900000000003  , -0.022000313
1237645941824356481, 40.2721052364832, -0.642510265945889  , 19.23401, 17.5333 , 16.8743 , 16.63157, 16.49762, STAR , -5.2202e-05  , 14.923, 14.983, 0.7795  , 0.281  , 2.449  , 1.7007100000000008  , -0.059999466
1237645942898229471, 40.5866484645203, 0.087817311594574   , 21.17529, 18.88593, 17.84707, 17.4657 , 17.22915, STAR , 8.201628e-05 , 15.303, 15.306, 0.5982  , -7.685 , -9.106 , 2.289360000000002   , -0.0029993057
1237645942904389833, 54.55577638031  , 0.22324705880271    , 22.19868, 19.84683, 18.37413, 17.12478, 16.43615, STAR , -0.0001077839, 14.115, 13.924, 2.6439  , -28.192, -37.505, 2.351849999999999   , 0.19099998
1237645942904455343, 54.7769799291301, 0.223335922826847   , 19.79918, 18.29659, 17.65989, 17.40492, 17.30932, STAR , -9.326459e-05, 15.34 , 15.262, 0.4083  , 0.76   , -1.163 , 1.5025900000000014  , 0.07800007
1237645942904455388, 54.7723123434002, 0.21669792522357    , 23.15027, 21.05162, 19.65687, 18.86262, 18.41304, STAR , 0.0003130087 , 16.046, 16.309, 0.5628  , 8.621  , -13.805, 2.0986499999999992  , -0.2630005
1237645942904520909, 54.9111219327585, 0.220735813012347   , 22.02289, 19.26772, 17.75936, 17.04514, 16.61452, STAR , -1.234244e-05, 14.37 , 14.399, 1.2824  , 5.264  , 3.517  , 2.7551699999999997  , -0.029000282
1237645942904520914, 54.9236340251032, 0.221918217172192   , 23.40751, 20.02904, 18.51576, 17.8002 , 17.40633, STAR , -0.0001354448, 15.26 , 15.21 , 1.8397  , 8.323  , 14.16  , 3.37847             , 0.05000019
1237645942904586466, 55.1063806063241, 0.219220515132176   , 20.47795, 19.07143, 18.49185, 18.27523, 18.21685, STAR , 0.0001493801 , 16.776, 16.725, -0.0381 , 1.813  , -0.506 , 1.4065200000000004  , 0.050998688
1237645942904914039, 55.7437304311277, 0.21634242770469    , 20.06968, 18.75596, 18.16277, 17.92969, 17.92194, STAR , -0.0003995959, 16.209, 16.699, -0.0377 , 0.057  , -2.161 , 1.31372             , -0.48999977
1237645942905110842, 56.2342367230983, 0.222159905209195   , 21.16108, 20.64433, 19.94781, 19.27042, 18.99279, QSO  , 0.4469347    , 15.102, 14.472, 2.1593  , -4.741 , 0.417  , 0.5167499999999983  , 0.6300001
1237645942905372939, 56.8124574683907, 0.219558796279035   , 23.27591, 20.35437, 18.82604, 17.39119, 16.5816 , STAR , -3.632986e-05, 13.973, 13.887, 2.0168  , 8.706  , -6.025 , 2.9215400000000002  , 0.08599949
1237645942905569371, 57.281615211522 , 0.0187678802337251  , 16.4848 , 14.92993, 14.56054, 14.53054, 14.19394, STAR , -0.0001421523, 12.899, 12.913, 0.7564  , -2.47  , -7.44  , 1.5548699999999993  , -0.013999939
1237645942905634929, 57.4057655489   , 0.0999447174141334  , 19.77787, 19.45023, 19.15962, 18.9185 , 18.72023, QSO  , 1.967009     , 15.435, 14.28 , 0.0654  , -0.201 , -0.195 , 0.3276399999999988  , 1.1550007
1237645942905635264, 57.3992522582091, 0.209324548711707   , 23.75402, 22.39903, 20.70438, 19.41228, 18.71345, STAR , -6.629725e-05, 15.759, 15.306, 2.0616  , -3.097 , -15.946, 1.3549900000000008  , 0.45300007
1237645942905700356, 57.5121037053493, 0.0848866189272191  , 18.83897, 17.63091, 17.09078, 16.84627, 16.71464, STAR , 8.889643e-05 , 15.387, 15.23 , 0.2331  , 4.786  , -15.336, 1.2080599999999997  , 0.15700054
1237645942905700448, 57.6053752996826, 0.0272751123700102  , 18.21801, 15.95427, 14.95673, 14.59481, 14.36269, STAR , -2.619098e-05, 12.51 , 12.564, 2.2145  , 14.294 , -29.698, 2.2637400000000003  , -0.0539999
