objid,ra,dec,u,g,r,i,z,class,redshift
1237651067349631068,165.734775291671,64.4082593159562,20.27721,19.87881,19.66776,19.7324,19.86167,QSO,2.423657
1237651754004119685,165.808055900229,2.53500914439841,20.49582,19.43475,18.95691,18.80998,18.68618,STAR,0.001111784
1237648705132101749,224.871895499312,0.555637992545472,18.84333,18.96658,19.36977,19.6634,19.85168,STAR,-0.000111526
1237648722828984351,151.74758837163,1.13588155235866,19.05784,17.99233,17.61009,17.46888,17.4226,STAR,9.92249e-05
1237651702451601527,128.746577125107,53.9246637875245,17.20966,15.74729,15.19938,15.00249,14.92227,STAR,-0.0001687165
1237651191890772671,121.687367272617,44.9594599897338,24.00328,22.39126,22.20196,21.99043,21.64595,QSO,2.182996
1237651250946310185,125.364054335218,46.9828892460314,18.03081,16.76858,16.31297,16.1446,16.08312,STAR,-1.054463e-06
1237649918970167634,25.3357183313299,13.3961800973859,22.70096,22.11029,21.91473,21.84404,21.19171,QSO,2.083979
1237651191891165383,122.495531449507,45.7172140710689,19.38124,19.1367,18.67593,18.38169,17.82522,QSO,0.3659445
1237651066280411371,190.233028539465,64.7101826957076,21.60686,20.84985,20.71861,20.77827,20.60493,STAR,0.0005965077
1237651067355398309,197.081686298335,65.1791925341119,20.25728,19.27874,19.15506,19.14287,19.16495,STAR,-0.0002259912
1237651251488489806,138.275576829005,56.13047509029,21.66239,20.56443,19.78278,19.08892,19.05018,QSO,0.598048
1237649919500615690,10.2525601920855,14.6117995797868,24.63466,22.65836,21.6236,20.58104,22.20941,QSO,1.550043
1237648704577405208,184.199207444768,0.145505623873495,21.40157,20.93677,20.81627,20.5839,20.24371,QSO,2.127786
1237648704577930017,185.401564980235,0.0763819571838903,22.83692,21.10502,20.79633,20.7233,20.4227,STAR,0.0006231952
1237651066811711715,160.931523034109,63.3530495383065,20.66125,20.32399,20.21628,20.33737,19.981,QSO,0.8907404
1237651250946375914,125.276360931228,47.2033643695704,21.17738,19.24486,18.52876,18.28168,18.18079,STAR,0.0001121926
1237648722291392944,150.132261129768,0.836738703949803,22.31717,21.4977,21.41319,21.37511,20.8094,QSO,0.8727612
1237651250409767217,126.308322121886,47.3349306238741,21.34037,21.05494,20.86828,20.95022,20.89067,QSO,1.040686
1237651252584514397,236.662416825016,54.6202615589116,24.3613,21.60383,21.33835,21.12546,21.12727,QSO,1.809645
1237648722292113511,151.814720236013,0.71621612425367,19.36711,19.1034,18.97296,18.74899,18.63704,QSO,1.680108
1237651067350417595,170.016513409091,64.9708509702118,20.25989,19.40688,19.08538,19.01858,19.10724,STAR,-0.000385561
1237651754003398790,164.154882730272,2.3740063112849,20.13222,18.63018,17.98444,17.72905,17.58359,STAR,-1.098755e-05
1237651702450291074,125.610593966751,51.5292402271679,21.8173,21.86552,21.74661,21.45044,20.5381,QSO,1.981334
