#Table1
objid,ra,dec,u,g,r,i,z,class,redshift
1237648705129480906,218.849122135974,0.543322527580099,22.57808,21.80429,21.44127,21.91809,21.64047,QSO,2.887868
1237648705129612107,219.145021605555,0.46454584418574,23.49467,21.99479,22.00472,21.8217,21.99342,QSO,1.18197
1237648705129677727,219.354595496975,0.597059970618891,22.81082,21.8671,21.78306,21.74509,21.18517,QSO,3.0546
1237648705129743247,219.5071332999,0.594007260672661,22.48196,22.06034,21.95429,21.91427,21.21225,QSO,2.468796
1237648705129807919,219.581971176222,0.471852739321672,18.56313,18.53411,18.38498,18.37235,18.3623,QSO,1.257948
1237648705129808058,219.665185835745,0.441050803182729,19.29275,19.02275,18.92752,18.85194,18.76428,QSO,1.971239
1237648705129808129,219.560766923307,0.532876212635485,20.29242,20.15188,20.00614,19.87361,20.09233,QSO,1.443942
1237648705129808183,219.619977300806,0.608351421507054,20.8872,20.34818,20.19124,20.06744,19.99035,QSO,2.504597
1237648705129808361,219.595634612301,0.625235703274024,22.29965,21.66965,21.68853,21.44985,21.00273,QSO,2.33791
1237648705129874416,219.819002692223,0.559276696131263,23.02735,21.55981,21.61538,21.70485,21.50507,QSO,2.480008
1237648705130004902,220.020112039859,0.48913903001735,22.06909,21.46892,21.53779,21.19497,21.0234,QSO,2.210668
1237648705130070213,220.150265094898,0.444086117741815,19.74678,19.49753,19.36914,19.22758,19.06445,QSO,0.4847173
1237648705130070414,220.192407721149,0.427214863181697,24.07996,22.03628,20.59204,19.74066,19.21519,QSO,1.340718
1237648705130136121,220.418722531793,0.45614641310932,22.31616,21.30632,21.14211,21.10463,20.90825,QSO,5.917448
1237648705130266801,220.634205538444,0.515973369378753,19.89392,19.68053,19.31189,19.32434,19.25624,QSO,1.030383
1237648705130267150,220.605223545861,0.61589726544827,23.09219,22.42779,20.82669,19.8137,19.26223,QSO,1.369495
1237648705130332526,220.789716128592,0.600968664782094,21.56482,21.28532,21.06644,20.90212,20.68328,QSO,2.180283
1237648705130463500,221.145017021738,0.55149214841163,19.79781,19.46218,19.21656,18.98495,18.79487,QSO,2.036043
1237648705130529335,221.292471611406,0.623681828113894,21.72468,20.91899,20.65256,20.69473,20.79884,QSO,2.758866
1237648705130529625,221.251530501425,0.508162172558993,22.67457,21.72286,21.79094,21.69671,21.24132,QSO,2.232909
1237648705130594541,221.458130400819,0.513123419903133,20.34145,19.46127,19.34405,19.31212,19.14644,QSO,2.687418
1237648705130660300,221.530841617297,0.496505435732175,21.90159,21.37582,21.33222,21.26167,20.92185,QSO,2.297071
1237648705130660482,221.534466584644,0.522490605407386,24.2346,21.54114,21.10366,21.07882,20.59088,QSO,2.889643
1237648705130725494,221.643977315132,0.559221373700671,20.08222,19.95323,19.96156,19.70503,19.68052,QSO,1.685073
1237648705130725652,221.772778894125,0.614784430577234,20.34697,19.51531,18.89522,18.50234,18.32908,QSO,0.09536646
1237648705130725669,221.776900236479,0.546149656976827,19.69057,19.65916,19.43575,19.36756,19.39161,QSO,1.157825
1237648705130725794,221.759225157806,0.590782277909153,20.59509,20.42423,20.41045,20.28555,20.17602,QSO,1.518949
1237648705130791772,221.894109238231,0.614947446471605,22.35303,21.75713,21.80969,21.77929,21.7039,QSO,2.42253
1237648705130857009,221.986911975624,0.556029659504027,22.12722,20.33665,19.2562,19.00089,18.70244,QSO,0.265643
1237648705130857097,221.95933447782,0.603243824217674,21.56522,20.88215,20.87363,20.97401,20.61704,QSO,2.421811
1237648705130922540,222.215402154393,0.624208940950469,22.09449,21.71487,21.6934,21.67574,21.52342,QSO,2.418038
1237648705130922704,222.11493049717,0.58621796248024,22.77949,21.80082,21.79422,21.74469,21.41681,QSO,2.398432
1237648705130987808,222.30600614148,0.584125756510927,20.27285,20.06931,20.02314,19.97738,19.77596,QSO,2.092301
1237648705130988537,222.377813845098,0.568246838621038,23.74767,21.42573,20.89195,20.8694,20.60924,QSO,2.793087
1237648705131053308,222.440240520502,0.595371458834533,20.10439,19.89656,19.74322,19.53022,19.4974,QSO,1.586938
1237648705131053365,222.499868904477,0.540387339297973,19.5456,19.30174,19.28545,19.03486,18.92336,QSO,1.708234
1237648705131118731,222.652655608502,0.62341251347713,18.20361,18.04696,17.7736,17.79992,17.86788,QSO,1.078722
1237648705131119120,222.665403293796,0.551123881300281,21.94072,21.34143,20.71218,20.54959,20.4253,QSO,1.419192
1237648705131381067,223.193854124249,0.580688653657707,20.74413,20.16522,20.07071,20.08753,20.15155,QSO,2.536809
1237648705131381308,223.169528795949,0.470975997882709,22.57473,21.9985,21.98202,21.88744,21.7448,QSO,2.097781
1237648705131446315,223.322709012677,0.578090296345257,19.29648,18.97669,18.7908,18.60685,18.37464,QSO,2.161713
1237648705131446707,223.290115614327,0.56429120736374,21.2456,20.52563,20.66317,20.70104,20.42698,QSO,2.361929
1237648705131446720,223.315640873626,0.444848865196411,20.7089,20.53167,20.26344,20.26234,20.2655,QSO,1.157187
1237648705131446739,223.349102021857,0.466832562028844,21.1192,20.86548,20.6431,20.26945,20.12262,QSO,0.6453044
1237648705131447193,223.387560518825,0.495454011499299,23.47993,21.49317,19.8121,19.52899,18.96959,QSO,1.29961
1237648705131512115,223.52091424753,0.47301795774966,19.57044,18.82343,18.6608,18.62754,18.53756,QSO,2.66041
