#Table1
objid,ra,dec,u,g,r,i,z,class,redshift
1237646798137853203,121.89529680744,0.890116989427822,22.44155,21.69588,20.14507,18.95149,18.24586,STAR,0.0001481709
1237646798137917753,122.083137338238,0.901369276235295,24.63299,21.35355,20.61366,20.57191,20.98597,STAR,0.0002060484
1237646798138049654,122.316986046551,0.857260938037692,22.41184,21.14252,20.907,20.98343,20.84095,STAR,-8.479728E-05
1237646798138114602,122.554800987814,0.951803193793326,21.98569,19.83044,19.15879,19.03659,18.92558,STAR,0.0001160884
1237646798138114742,122.437528201851,0.967177328713987,21.03327,19.9874,19.73486,19.67166,19.68408,STAR,0.00014482
1237646798138180321,122.710445854482,0.983723104198429,20.91459,19.92258,19.63703,19.55144,19.36541,STAR,0.0003828563
1237646798138180910,122.687628286347,0.873849002479417,22.87741,21.23585,20.84391,21.00072,20.65022,STAR,0.0003847221
1237646798138245694,122.830469495431,1.00207627069982,20.33547,19.39412,19.09066,19.00352,19.08063,STAR,3.991031E-06
1237646798138245746,122.863994523509,0.896150822431993,18.20631,16.89692,16.46658,16.31574,16.28902,STAR,0.0004881296
1237646798138245833,122.745255741422,0.994950408089888,20.53726,19.37796,19.09943,18.99852,19.00122,STAR,0.0001832367
1237646798138310950,122.981945158838,0.963856929671034,17.63113,16.55926,16.24861,16.14775,16.13221,STAR,0.0001320406
1237646798138310972,122.988637998949,0.973742938007754,15.99172,14.98865,14.70003,14.64919,14.50626,STAR,9.265625E-05
1237646798138311132,122.881600181565,0.884426018611414,21.41673,20.44041,20.2174,20.1612,20.23839,STAR,0.0004630379
1237646798138311265,122.93563541494,0.899085528808444,19.37706,18.44093,18.24528,18.19469,18.17668,STAR,0.0004529892
1237646798138311518,122.946924491752,0.974170971234342,21.76463,20.47747,20.1742,20.18863,20.35793,STAR,0.0001655408
1237646798138376220,123.039385678518,0.930070447252211,16.73877,15.68268,15.43654,15.38572,15.40208,STAR,0.0001283693
1237646798138376303,123.020264542589,0.911874556335115,16.37119,15.28426,15.05225,14.98734,15.0114,STAR,5.721474E-05
1237646798138376335,123.049813090739,0.860108959017446,21.57362,20.54544,20.12687,20.00334,19.87525,STAR,0.0003203499
1237646798138376717,123.016535374447,0.848145358949872,19.52481,18.21796,17.68045,17.46177,17.37293,STAR,1.715707E-05
1237646798138376822,123.086927636852,0.941532376732969,20.92337,19.02524,18.25011,17.94046,17.80826,STAR,0.0005497376
1237646798138376903,123.129194134515,0.855262200777538,20.86321,19.72819,19.48499,19.37097,19.47533,STAR,0.0003289015
1237646798138441918,123.202500529627,0.905129930680632,18.6522,17.52927,17.53732,17.58253,17.67018,STAR,-0.0002422539
1237646798138442159,123.267895241755,0.960993455243754,16.63293,15.27509,14.61367,14.50841,14.27292,STAR,-5.544391E-05
1237646798138442378,123.220685337752,0.988943025023394,20.47769,17.91211,16.70012,16.22453,15.97483,STAR,0.0003822916
1237646798138442398,123.226289466664,0.871598339312242,20.4777,17.89573,16.52714,16.06408,15.67073,STAR,0.0001046355
1237646798138442434,123.237384184775,0.935697362839596,20.51158,19.06708,18.48471,18.26192,18.14725,STAR,5.564599E-05
1237646798138442582,123.305112219749,0.957012844198849,20.14668,19.1907,18.93629,18.83867,18.85648,STAR,0.0003005136
1237646798138507365,123.348807162909,0.922523638526005,16.14538,15.07947,14.84144,14.77282,14.78681,STAR,0.0002392115
1237646798138507574,123.426130442905,0.881883846120914,17.84565,16.82412,16.49827,16.38742,16.35545,STAR,0.0001469977
1237646798138507790,123.356884406557,0.905061310015093,20.37068,18.52043,17.81562,17.55979,17.49059,STAR,4.50559E-05
1237646798138507795,123.358404212863,0.971763043353867,21.72744,19.25004,17.79746,16.46439,15.75673,STAR,6.831374E-05
1237646798138507836,123.376635284233,0.90893646101481,21.10874,18.92583,17.92899,17.54891,17.39075,STAR,0.0001125724
1237646798138507952,123.427803207211,0.91831146554926,20.12323,19.0484,18.74583,18.61365,18.58687,STAR,0.0002534625
1237646798138508136,123.321699845578,0.890758980612803,21.58111,20.49671,20.17925,20.07325,20.44042,STAR,0.0002708773
1237646798138573236,123.587960338488,0.919738665647856,17.75484,16.59773,16.53687,16.56253,16.61154,STAR,-7.064893E-06
1237646798138573554,123.545267650004,0.931392113528626,19.3623,18.1918,17.81977,17.69313,17.61249,STAR,0.0002354691
1237646798138573872,123.577094634809,0.885935988061475,21.25426,20.34752,20.06755,20.06426,19.72748,STAR,0.0005858201
1237646798138574188,123.553140434429,0.992484131809179,22.41718,20.75414,20.15954,19.91617,19.82048,STAR,0.0003075431
1237646798138638462,123.673560514662,0.861348536541287,16.48326,15.04494,15.04021,14.29518,14.18345,STAR,0.0002243217
1237646798138638592,123.717143196888,0.86899847348959,19.77157,17.97525,17.1447,16.81956,16.64103,STAR,0.0001171308
1237646798138638853,123.617405943226,0.990221553157367,20.36373,19.27615,18.98816,18.90521,18.94002,STAR,0.0004883123
1237646798138638892,123.639146846288,0.989893953981622,20.62167,18.09349,16.68048,15.5089,14.87487,STAR,-3.691299E-05
1237646798138638912,123.647998299124,0.906035801267652,19.77854,18.27625,17.70176,17.50088,17.4242,STAR,0.000178557
1237646798138639000,123.682205532639,0.924685920401152,21.7202,18.91886,17.42213,16.38438,15.8272,STAR,7.584287E-05
1237646798138639081,123.725028451411,0.969153097354116,21.53403,18.78657,17.42054,16.81936,16.47526,STAR,3.208825E-05
1237646798138769951,123.950462710065,1.00512931176845,20.00435,18.91417,18.64979,18.58657,18.51166,STAR,0.0004032851
1237646798669285863,109.479142831698,1.22527314015412,20.34499,17.97607,16.85632,16.35043,16.04975,STAR,0.0001240185
1237646798669285978,109.498188068337,1.25321851794148,20.00787,18.96498,18.51519,18.30021,18.19444,STAR,0.0005090882
1237646798669349498,109.586770512355,1.28673949159734,22.21243,19.12175,18.15245,17.35482,22.82734,STAR,0.00030308
1237646798669350240,109.670062770982,1.28922645355497,19.95881,18.50802,17.68445,17.5371,16.42241,STAR,0.0004919675
1237646798669350717,109.556503406491,1.27301018776422,21.92357,19.25643,18.08398,17.75032,17.43879,STAR,0.0005313152
1237646798669350734,109.560951621702,1.2259512120064,20.73509,19.06923,18.3117,18.05743,17.85108,STAR,0.0001895694
1237646798669350858,109.586048844911,1.23257141325078,21.16203,18.9241,18.07629,17.78163,17.56847,STAR,0.0001622282
1237646798669351203,109.651921155498,1.2621801171187,21.28067,18.33509,17.01479,16.51814,16.5546,STAR,0.0001124418
1237646798669351289,109.664315200669,1.23438076443096,21.82365,19.41409,18.0975,17.60479,17.30752,STAR,0.000148448
1237646798669415591,109.780462063995,1.21889571406018,20.29492,18.24776,16.89141,16.15888,15.7151,STAR,0.0004355341
1237646798669415630,109.785244486521,1.33478947429016,20.98788,19.21955,18.524,18.23135,18.09505,STAR,0.0002656615
1237646798669415885,109.810386743685,1.31738122219673,21.28837,19.18948,18.45378,18.17132,18.0875,STAR,0.0002398991
1237646798669416172,109.839773024979,1.33096610711061,21.39635,19.49156,18.74155,18.41759,18.32337,STAR,0.0004347601
1237646798669416343,109.716150931386,1.23455653230529,21.14716,18.57746,17.23733,16.70462,16.4161,STAR,0.0001792919
1237646798669416365,109.716646905132,1.34797723499966,21.28766,19.40257,18.58174,18.28505,18.07607,STAR,0.0002724339
1237646798669416428,109.743211680291,1.33391579655523,21.12586,18.33472,17.37202,17.08803,16.47587,STAR,0.0001138557
1237646798669480138,109.84595480486,1.23195849580327,21.39146,19.13441,18.05478,17.55973,17.31128,STAR,3.699008E-07
1237646798669480748,109.969144861074,1.25934828407365,20.79132,18.45465,17.52351,17.1765,17.05208,STAR,8.235495E-05
1237646798669481463,109.858753134633,1.40334945001553,22.10998,19.15427,17.86187,17.33008,17.05318,STAR,8.285975E-05
1237646798669545656,110.003550163532,1.3446724593752,21.08968,19.25549,18.49569,18.15906,17.9684,STAR,0.0001440664
1237646798669545804,110.023822376158,1.27414979652425,21.88057,19.23683,18.12913,17.7716,17.555,STAR,0.0002772482
1237646798669546317,110.070039152762,1.21873469068252,19.42591,18.42443,18.00135,17.79079,17.70945,STAR,0.0001041384
1237646798669546414,110.094859951039,1.33734363757645,20.38774,17.74467,16.51746,16.05674,15.81139,STAR,0.0002565917
1237646798669547013,109.999382403018,1.24380359490279,19.8656,18.30875,17.6519,17.39964,17.26048,STAR,0.0003455436
1237646798669547134,110.01622575847,1.30090317506311,20.07587,18.17823,17.42279,17.15021,17.02721,STAR,0.0001053472
1237646798669547222,110.03074252342,1.32807786576209,21.80415,19.26613,18.25792,17.84448,17.62997,STAR,0.0001444556
1237646798669547386,110.067089868457,1.23793628685007,22.15246,19.47474,18.10275,17.50324,17.15116,STAR,0.0001137409
1237646798669547489,110.083126031124,1.23022388651741,21.21018,19.58842,18.87535,18.59053,18.39509,STAR,0.0003171695
1237646798669547668,110.107142606749,1.35964536297972,22.02279,19.29298,18.13503,17.69309,17.39898,STAR,0.000160705
1237646798669611565,110.208772323205,1.36378390496267,21.14228,19.04247,18.228,17.95623,17.85043,STAR,0.0003082471
1237646798669611620,110.202021646954,1.29349700107496,20.14907,17.5119,16.31755,15.86117,15.59975,STAR,7.666263E-05
1237646798669611941,110.246453694025,1.36487180646857,18.58476,17.2945,16.42206,16.27426,15.89856,STAR,0.0003911394
