objid              , ra              , dec                 , u       , g       , r       , i       , z       , class, redshift     , _q   , W1mag , W2mag , W3mag , W4mag, W1_W2        , u_g
1237645879562862699, 15.8961264648656, 1.26484510362016    , 20.14134, 19.28787, 19.04397, 18.96897, 18.79573, STAR , -0.0008209134,   2.0, 15.986, 14.719, 11.215, 8.31 , 1.2670002    , 0.853469999999998
1237645879580098737, 55.2961970044124, 1.27169205773492    , 20.169  , 20.1186 , 20.00968, 19.54327, 19.37404, QSO  , 1.837838     ,   5.0, 13.809, 13.831, 12.143, 8.849, -0.022000313 , 0.05039999999999978
1237645941286502503, 38.0379218207372, -1.04298108644375   , 19.35777, 20.15456, 24.80203, 17.77139, 18.46624, STAR , -8.218954e-05,   6.0, 14.923, 14.983, 12.845, 9.262, -0.059999466 , -0.7967900000000014
1237645941286568042, 38.0519598250764, -1.03620784982882   , 24.63467, 21.49866, 21.45066, 19.92876, 21.05994, STAR , -6.133055e-05,   7.0, 13.114, 13.141, 12.236, 8.606, -0.026999474 , 3.136009999999999
1237645941291614227, 49.6274851210218, -1.0417691497987    , 17.65612, 16.17133, 15.5894 , 15.3785 , 15.26744, STAR , -9.765775e-05,   8.0, 15.303, 15.306, 12.654, 9.035, -0.0029993057, 1.4847900000000003
1237645941824356481, 40.2721052364832, -0.642510265945889  , 19.23401, 17.5333 , 16.8743 , 16.63157, 16.49762, STAR , -5.2202e-05  ,   9.0, 16.78 , 15.69 , 12.017, 9.275, 1.0900011    , 1.7007100000000008
1237645942898229350, 40.5820323404104, 0.134770090982145   , 18.64558, 16.44336, 15.52452, 15.18185, 14.98858, STAR , 0.0001671379 ,  11.0, 14.115, 13.924, 11.936, 8.92 , 0.19099998   , 2.2022200000000005
1237645942898229471, 40.5866484645203, 0.087817311594574   , 21.17529, 18.88593, 17.84707, 17.4657 , 17.22915, STAR , 8.201628e-05 ,  13.0, 15.34 , 15.262, 11.933, 8.934, 0.07800007   , 2.289360000000002
1237645942898230097, 40.5793475271779, 0.182010176680141   , 23.45584, 22.33025, 22.16315, 21.5689 , 21.88052, QSO  , 1.570309     ,  14.0, 16.046, 16.309, 11.991, 9.059, -0.2630005   , 1.125589999999999
1237645942898230126, 40.5849309701887, 0.131274695916725   , 23.34163, 22.46378, 22.20699, 22.2005 , 22.2284 , QSO  , 2.276326     ,  15.0, 14.37 , 14.399, 12.544, 8.841, -0.029000282 , 0.8778499999999987
1237645942904389833, 54.55577638031  , 0.22324705880271    , 22.19868, 19.84683, 18.37413, 17.12478, 16.43615, STAR , -0.0001077839,  16.0, 15.26 , 15.21 , 12.167, 8.901, 0.05000019   , 2.351849999999999
1237645942904455278, 54.6834243705312, 0.216918587541457   , 20.79859, 19.54183, 19.04607, 18.82743, 18.74658, STAR , -6.275329e-05,  17.0, 16.776, 16.725, 12.158, 8.955, 0.050998688  , 1.2567599999999999
1237645942904455343, 54.7769799291301, 0.223335922826847   , 19.79918, 18.29659, 17.65989, 17.40492, 17.30932, STAR , -9.326459e-05,  18.0, 16.209, 16.699, 12.533, 9.112, -0.48999977  , 1.5025900000000014
1237645942904455388, 54.7723123434002, 0.21669792522357    , 23.15027, 21.05162, 19.65687, 18.86262, 18.41304, STAR , 0.0003130087 ,  19.0, 15.102, 14.472, 12.013, 8.504, 0.6300001    , 2.0986499999999992
1237645942904520909, 54.9111219327585, 0.220735813012347   , 22.02289, 19.26772, 17.75936, 17.04514, 16.61452, STAR , -1.234244e-05,  20.0, 13.973, 13.887, 12.505, 8.487, 0.08599949   , 2.7551699999999997
1237645942904520914, 54.9236340251032, 0.221918217172192   , 23.40751, 20.02904, 18.51576, 17.8002 , 17.40633, STAR , -0.0001354448,  21.0, 12.899, 12.913, 12.254, 8.985, -0.013999939 , 3.37847
1237645942904586466, 55.1063806063241, 0.219220515132176   , 20.47795, 19.07143, 18.49185, 18.27523, 18.21685, STAR , 0.0001493801 ,  22.0, 14.731, 14.612, 12.205, 8.602, 0.11899948   , 1.4065200000000004
1237645942904914039, 55.7437304311277, 0.21634242770469    , 20.06968, 18.75596, 18.16277, 17.92969, 17.92194, STAR , -0.0003995959,  23.0, 15.435, 14.28 , 11.036, 8.159, 1.1550007    , 1.31372
1237645942905110842, 56.2342367230983, 0.222159905209195   , 21.16108, 20.64433, 19.94781, 19.27042, 18.99279, QSO  , 0.4469347    ,  24.0, 15.759, 15.306, 12.098, 8.661, 0.45300007   , 0.5167499999999983
1237645942905372939, 56.8124574683907, 0.219558796279035   , 23.27591, 20.35437, 18.82604, 17.39119, 16.5816 , STAR , -3.632986e-05,  25.0, 15.387, 15.23 , 12.071, 8.699, 0.15700054   , 2.9215400000000002
